ticker,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
SFNC,2022-09-30,USD,97459000,236505000,139046000,NA,51760000,30769000,NA,45699000,40954000,193585000,230618000,37033000,43023000,NA,NA,4225000,97562000,16959000,37033000,-63188000,-36699000,134595000,138820000,80603000
SFST,2022-09-30,USD,10188000,27184000,16996000,NA,5324000,4864000,NA,4864000,NA,25454000,30934000,5480000,2680000,NA,NA,1180000,11138000,2725000,5480000,8413000,4547000,16618000,17798000,8413000
SFT,2022-09-30,USD,409000,161869000,243737000,161460000,-73003000,49805000,NA,73412000,NA,-581000,NA,581000,161869000,-2789000,700000,2958000,-75792000,18000,581000,-75810000,-75810000,-73003000,-72253000,-75810000
SGA,2022-09-30,USD,23281000,29948000,6667000,22295000,1055000,6667000,NA,28962000,134000,-32000,134000,32000,29980000,34000,NA,NA,1191000,1295000,32000,-104000,-104000,1223000,1223000,-104000
SGBX,2022-09-30,USD,-165174,4130257,4295431,4295431,-2502186,1042155,NA,2337012,9756,-52758,9756,52758,4130257,-2963,106271,50580,-2548151,-94568,52758,-2548151,-2453583,-2502186,-2451606,-2453583
SGC,2022-09-30,USD,50637000,136909000,157310000,88066000,-18079000,43815000,NA,68716000,NA,-1794000,NA,1794000,138703000,NA,NA,3401000,-16960000,-4241000,1794000,-12719000,-12958000,-15166000,-11765000,-12719000
SGEN,2022-09-30,USD,185983000,510300000,324317000,108122000,-192805000,210378000,384605000,600800000,6947000,NA,NA,NA,510300000,NA,11775000,5817000,-188527000,2289000,NA,-190816000,-188328000,-192805000,-186988000,-190816000
SGHT,2022-09-30,USD,15749000,17546000,34469000,2928000,-21845000,31541000,6053000,37594000,NA,-1131000,NA,1131000,18677000,766000,200000,361000,-22210000,19000,1131000,-22229000,-22229000,-21079000,-20718000,-22229000
SGII,2022-09-30,USD,NA,0,NA,NA,-387184,337271,NA,337271,NA,693891,693891,NA,NA,2330733,NA,NA,1943549,145333,NA,1798216,NA,-387184,-387184,1798216
SGLY,2021-12-31,USD,17034,1041925,1024891,1041925,-2756873,2348656,NA,2773907,NA,-1020,NA,1020,-6131616,-29881,NA,133088,-9703370,-785000,1020,-8133370,-9328245,-2756873,-9569262,-8918370
SGMA,2022-07-31,USD,11685035,104605722,103555904,93887821,2823817,8861218,NA,9681659,NA,-953558,NA,953558,105559280,NA,NA,806865,1906075,529400,953558,1376675,1376675,2859633,3666498,1376675
SGMO,2022-09-30,USD,10222000,26460000,16238000,NA,-54894000,16238000,65116000,81354000,NA,1769000,1769000,1769000,26460000,1769000,NA,5181000,-53125000,30000,NA,-54924000,-58993000,-54894000,-46175000,-53155000
SGRP,2022-09-30,USD,12840000,67297000,54457000,56992000,1720000,10614000,NA,11120000,NA,-270000,NA,270000,69832000,126000,NA,506000,644000,676000,NA,1170000,-488000,1720000,2226000,-32000
SGRY,2022-09-30,USD,404100000,620600000,216500000,489400000,74100000,17900000,NA,546500000,NA,-10900000,NA,10900000,620600000,NA,NA,9300000,-17200000,7800000,0,-117900000,13500000,74100000,3000000,-25000000
SGTX,2022-09-30,USD,-143000,4252000,4395000,NA,-8423000,4395000,8280000,12675000,28000,-606000,300000,606000,28000,58000,NA,333000,-8671000,NA,606000,-8671000,-8751000,-8423000,-7732000,-8671000
SGU,2022-06-30,USD,426545000,440863000,14318000,369863000,-11496000,6251000,NA,90165000,NA,-1095000,2857000,2635000,439101000,NA,NA,8067000,-14353000,-3766000,NA,-10587000,-10607000,-11496000,-3429000,-10587000
SHAC,2022-09-30,USD,0,NA,0,402940,-402940,NA,NA,432940,1213045,1213045,1213045,NA,NA,1791905,NA,NA,1388965,244240,NA,1144725,1144725,-402940,-402940,1144725
SHAK,2022-09-30,USD,133155000,228229000,95074000,132412000,-4826000,26645000,NA,232640000,290000,-475000,NA,475000,227222000,NA,18647000,750000,-3532000,-1508000,475000,-2311000,-2024000,-3057000,-2307000,-2024000
SHBI,2022-09-30,USD,12831000,32405000,19574000,NA,-2010000,14183000,NA,14841000,NA,27315000,30576000,3261000,5344000,NA,NA,499000,13085000,3427000,3261000,9658000,6528000,16346000,16845000,9658000
SHC,2022-09-30,USD,136013000,248704000,112691000,112691000,63195000,57091000,NA,72818000,NA,-1423000,NA,1423000,249239000,1713000,15885000,20218000,42016000,16926000,0,25090000,-33897000,63195000,63657000,25090000
SHCA,2022-09-30,USD,-421615,0,421615,421615,-421615,421615,NA,421615,NA,NA,NA,NA,NA,1788986,NA,NA,1367371,213357,NA,1154014,NA,1367371,-421615,1154014
SHCR,2022-09-30,USD,-19588000,114571000,134159000,72375000,-25476000,50584000,NA,61784000,319000,-548000,319000,548000,114619000,-2382000,NA,11200000,-27984000,-627000,548000,-27460000,-28353000,-27436000,-16236000,-27357000
SHEN,2022-09-30,USD,19902000,70924000,51022000,27477000,-1771000,22227000,NA,23545000,NA,NA,NA,NA,66924000,-1208000,17700000,200000,-2979000,-251000,NA,-2728000,-2728000,-1771000,-1571000,-2728000
SHFS,2022-09-30,USD,2183850,2379314,195464,195464,825456,373695,NA,1358394,NA,376295,412297,36002,NA,230779,NA,NA,1056235,NA,NA,1056235,NA,1056235,1092237,1056235
SHLS,2022-09-30,USD,36047000,90823000,54776000,400000,19965000,13853000,NA,16082000,NA,-4754000,NA,4754000,90823000,NA,500000,2229000,10410000,2452000,4754000,17513000,7958000,15164000,17393000,7958000
SHOO,2022-09-30,USD,229476000,556643000,327167000,327167000,78752000,NA,NA,150724000,NA,-1340000,1340000,1340000,553120000,NA,NA,10661000,79632000,18335000,NA,61757000,54139000,78752000,89413000,61297000
SHPH,2022-09-30,USD,NA,0,NA,NA,-821468,81864,669038,821468,NA,-618441,NA,13725,NA,NA,NA,NA,-998425,19473,NA,-998425,NA,-821468,-362986,-1017898
SHQA,2022-09-30,USD,-215875,NA,215875,50000,-265875,215875,NA,265875,999746,NA,NA,NA,NA,2724005,NA,NA,2458130,196198,NA,2261932,2261932,-265875,-265875,2261932
SHW,2022-09-30,USD,2589400000,5947800000,5075100000,3458000000,1095300000,1528600000,NA,1595500000,2600000,-101200000,2600000,101200000,6049000000,-18100000,64500000,81300000,877200000,192100000,101200000,685100000,537200000,978400000,1059700000,685100000
SHYF,2022-09-30,USD,54096000,284938000,257012000,231979000,22012000,25033000,7051000,32084000,NA,-1137000,NA,1137000,286075000,181000,2404,3359000,21056000,3770000,1137000,17286000,17286000,22193000,25552000,17286000
SI,2022-09-30,USD,57391000,89943000,32552000,NA,45418000,11973000,NA,11973000,NA,80888000,90766000,9878000,8454000,NA,NA,903000,56828000,13500000,9878000,43290000,-90556000,66706000,67609000,43328000
SIBN,2022-09-30,USD,22264000,25677000,36909000,4168000,-13566000,32741000,3089000,35830000,346000,-755000,346000,755000,26432000,-183000,900000,945000,-14158000,0,755000,-13403000,-14033000,-13403000,-12458000,-14158000
SIDU,2022-09-30,USD,-85623,1317247,1402870,1402870,-3875418,1372938,NA,3789795,NA,-50880,NA,50880,1260146,-50880,28015,67742,-3926298,NA,50880,-3926298,-3926298,-3875418,-3807676,-3926298
SIEB,2022-09-30,USD,2910000,14336000,11426000,7290000,-9838000,3498000,NA,12748000,NA,-108000,NA,108000,953000,NA,102000,240000,1525000,473000,30000,967000,1052000,1633000,1873000,1052000
SIEN,2022-09-30,USD,12776000,20506000,32308000,9794000,-12558000,21614000,3720000,25334000,41000,-2364000,41000,2364000,22570000,-6000,600000,900000,-14981000,0,2364000,-14887000,-14981000,-12617000,-11717000,-14981000
SIER,2022-09-30,USD,NA,NA,NA,NA,-251847,NA,NA,251847,1311896,1311896,1311896,NA,NA,3826096,NA,NA,3574249,240743,NA,3333506,3333506,-251847,-251847,3333506
SIF,2022-06-30,USD,374000,21315000,24034000,21080000,-2509000,2821000,NA,2954000,NA,-146000,139000,146000,21461000,-23000,NA,64000,-2671000,-3000,146000,-2668000,-2784000,-2525000,-2461000,-2668000
SIGA,2022-09-30,USD,48606015,72211127,23605112,3948974,42873033,19656138,5732982,25389120,NA,NA,NA,NA,72211127,258975,NA,130203,43132008,10091420,NA,33040588,33040588,42873033,43262211,33040588
SIGI,2022-09-30,USD,715972000,895020000,179048000,NA,602122000,5522000,NA,113850000,-4234000,-7179000,NA,7179000,-12574000,NA,NA,12352000,52639000,10114000,7179000,42525000,-146116000,59818000,69870000,42525000
SILK,2022-09-30,USD,28066000,35660000,38129000,9308000,-9226000,28821000,8471000,37292000,617000,-1714000,617000,1714000,37374000,4000,NA,543000,-10319000,NA,1714000,-8605000,-10508000,-9226000,-8683000,-10319000
SILO,2022-09-30,USD,16566,18025,1459,1459,-949154,402190,375795,964261,NA,981,NA,981,NA,NA,NA,NA,-983246,NA,NA,-983246,NA,-949154,-982265,-983246
SINT,2022-09-30,USD,337000,426000,89000,89000,-2793000,1360000,1523000,3130000,NA,-4000,5000,4000,426000,8000,100000,1000,-2724000,NA,4000,-2724000,-2724000,-2793000,-2792000,-2724000
SIRI,2022-09-30,USD,1250000000,2174000000,569000000,1127000000,467000000,413000000,70000000,639000000,NA,-107000000,NA,107000000,2280000000,-3000000,NA,134000000,357000000,110000000,107000000,247000000,226000000,464000000,598000000,247000000
SITC,2022-09-30,USD,76865000,138843000,61978000,42737000,-27850000,10799000,NA,104715000,NA,-20139000,NA,20139000,NA,-501000,NA,51179000,66453000,258000,20139000,66213000,75977000,86592000,137771000,66195000
SITE,2022-09-30,USD,388600000,1096600000,1020600000,714000000,101800000,289200000,NA,306600000,NA,-5600000,NA,5600000,1102000000,NA,NA,17400000,96200000,22900000,6200000,73300000,74700000,101800000,119200000,73300000
SITM,2022-09-30,USD,47296000,73095000,25799000,25799000,3532000,19886000,23878000,43764000,NA,2492000,2492000,2492000,73095000,-238000,2700000,500000,5786000,3000,NA,5783000,5783000,3532000,4032000,5783000
SIVB,2022-09-30,USD,596000000,1518000000,922000000,NA,447000000,142000000,NA,149000000,NA,1198000000,1521000000,323000000,359000000,NA,NA,6000000,644000000,175000000,323000000,418000000,-418000000,967000000,973000000,469000000
SIX,2022-09-30,USD,386810000,465213000,78403000,40164000,348571000,38234000,NA,43277000,NA,-34580000,383000,34580000,499793000,-521000,30181000,5000,154483000,38654000,34580000,138155000,113942000,189063000,189068000,115829000
SJI,2022-09-30,USD,600256000,608518000,8262000,492812000,4183000,845000,NA,74665000,NA,-38478000,38478000,38478000,737154000,6513000,36927000,200000,-28018000,9989000,38478000,-37771000,-37999000,10460000,10660000,-38007000
SJM,2022-10-31,USD,701100000,2190900000,1915000000,1504000000,293400000,354300000,NA,411000000,NA,-39700000,39700000,0,2190600000,-800000,57100000,56000000,252900000,61800000,NA,191100000,177200000,293400000,308900000,191100000
SJT,2022-09-30,USD,NA,21345765,NA,NA,21099184,246581,NA,246581,NA,12293,12293,NA,NA,NA,NA,NA,21111477,NA,NA,21111477,NA,21111477,21099184,21111477
SJW,2022-09-30,USD,40694000,175981000,135287000,112348000,37602000,23909000,NA,23827000,NA,-14190000,14190000,14190000,170054000,875000,NA,26032000,25257000,223000,14190000,25034000,24861000,39447000,65479000,25034000
SKGR,2022-09-30,USD,NA,0,NA,NA,-312076,312076,NA,312076,NA,NA,NA,NA,NA,614767,NA,NA,302691,NA,NA,302691,NA,-312076,-312076,302691
SKIN,2022-09-30,USD,61575000,88792000,27217000,27217000,-4141000,63549000,2167000,65716000,NA,-1058000,NA,1058000,87030000,2509000,2001000,3692000,-690000,-821000,1058000,131000,-1505000,-4141000,4060000,131000
SKT,2022-09-30,USD,68631000,111446000,42815000,36076000,-10260000,17370000,NA,78891000,NA,-11660000,11660000,11660000,0,1395000,NA,25445000,24345000,NA,11660000,24345000,21443000,-10260000,15185000,23276000
