,MarketCapitalization,BookValue,DividendYield,DividendPerShare,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY
417,613349000,7.68,0.0,0.0,-1.148,21.49,-0.0406,-0.0385,-0.0124,-0.0706,542310000,219023000,0.0,0.135
418,3354773000,36.38,0.016,1.48,5.22,15.43,0.345,0.429,0.0147,0.149,504815000,489579000,0.422,0.244
419,2414526000,41.2,0.0254,1.73,5.53,17.62,0.316,0.427,0.0116,0.124,603880000,626695000,-0.007,-0.05
420,124937000,20.74,0.0889,1.55,0.78,2.761,0.193,0.717,0.0415,0.025,19608200,17364400,-0.541,0.205
421,702922000,3.716,0.0,0.0,1.0,3.182,-0.458,-0.444,-0.137,-0.349,140532000,108761000,0.0,0.34
422,1760932000,5.49,0.0,0.0,0.29,11.01,0.0609,0.0348,0.0077,0.134,575000000,568000000,-0.795,0.077
423,1762593000,5.49,0.0,0.0,0.29,11.01,0.0609,0.0348,0.0077,0.134,575000000,568000000,-0.795,0.077
424,26829320000,10.98,0.021,1.14,2.0,29.36,-0.161,0.111,0.043,-0.329,14740000000,5250000000,-0.153,0.17
425,422280000,2.137,0.0,0.0,-5.64,78.59,-0.17,-0.0944,-0.0751,-6.5,6829706000,2620691000,0.0,-0.276
426,402991000,4.917,0.0,0.0,0.41,6.96,0.0671,0.122,0.0356,0.0854,374152000,137727000,2.386,0.294
427,999078000,11.28,0.106,0.93,0.24,2.088,0.0906,0.747,0.0404,0.0177,192261000,135335000,-0.59,0.609
428,31322800,8.34,0.0926,0.0,0.19,8.68,-0.0273,0.0563,0.0119,-0.028,255091000,41956100,-0.05,0.015
429,159119000,0.756,0.0,0.0,-11.47,0.21,0.0,-4.899,-0.21,-9.73,18761000,2478800,0.0,3.497
430,1415604000,3.918,0.0,0.0,-4.076,0.605,0.0,-5.78,-0.424,-17.9,88664000,66602000,0.0,-0.856
431,4284600,0.425,0.0,0.0,-0.181,0.0,0.0,0.0,-0.675,0.0,0,0,0.0,0.0
432,692705000,24.61,0.0123,1.2,6.32,142.88,0.0446,0.0552,0.0476,0.245,1038944000,204508000,0.25,0.109
433,377992000,6.5,0.0,0.0,3.22,28.55,0.113,0.121,0.127,0.559,443448000,217955000,-0.095,0.063
434,19496346000,13.27,0.0418,3.52,6.68,209.48,0.0323,0.0433,0.0698,0.426,47928001000,11634000000,-0.39,-0.111
435,5374183000,27.56,0.02,1.43,8.35,87.64,0.0956,0.14,0.103,33.4,6660500000,1699800000,0.202,0.19
